"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","01","http://dx.doi.org/10.1145/365024.365027","Scale effects in steering law tasks","28 ","13","76","903","arm; consumer products; control theory; device size; finger; human factors; input devices and strategies; limb; movement scale; steering law; wrist","8",""
"CHI","01","http://dx.doi.org/10.1145/365024.365028","Accuracy measures for evaluating computer pointing devices","84 ","29","149","2,173","computer pointing devices; design; human factors; measurement; performance evaluation; reliability","8","I. Scott MacKenzie, Dept. of Computer Science, York University, Toronto, Ontario, Canada M3J 1P3; Tatu Kauppinen, Nokia Research Center, P.O. Box 407, FIN-00045 Nokia Group, Finland"
"CHI","01","http://dx.doi.org/10.1145/365024.365030","Laser pointer interaction","84 ","20","99","1,643","camera-based interaction; group interaction; input devices and strategies; interaction techniques; management; performance; user/machine systems","6","Dan R. Olsen, Jr., Computer Science Department, Brigham Young University, Provo, UT"
"CHI","01","http://dx.doi.org/10.1145/365024.365031","Listen reader: an electronically augmented paper-based book","47 ","19","126","1,778","artificial, augmented, and virtual realities; audio input/output; augmented reality; documentation; embedded tags; gestural input; interactive audio; interactive museum; management; natural language; page detection; portable devices; smart documents; theory; voice i/o","7","Maribeth Back, Xerox PARC, 3333 Coyote Hill Road, Palo Alto, CA; Jonathan Cohen, Xerox PARC, 3333 Coyote Hill Road, Palo Alto, CA; Rich Gold, Xerox PARC, 3333 Coyote Hill Road, Palo Alto, CA; Steve Harrison, Xerox PARC, 3333 Coyote Hill Road, Palo Alto, CA"
"CHI","01","http://dx.doi.org/10.1145/365024.365032","Exploiting interactivity, influence, space and time to explore non-linear drama in virtual worlds","10 ","14","54","924","artificial, augmented, and virtual realities; enterainment applications; interaction styles; management; theory; virtual reality","8","Mike Craven, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; Ian Taylor, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; Adam Drozd, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; Jim Purbrick, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; Chris Greenhalgh, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; Steve Benford, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; Mike Fraser, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; John Bowers, NADA, Royal Institute of Technology, S-100 44 Stockholm, Sweden"
"CHI","01","http://dx.doi.org/10.1145/365024.365033","Orchestrating a mixed reality performance","28 ","11","53","816","artificial, augmented, and virtual realities; human factors; mixed reality; performance; theory; virtual reality","8","Boriana Koleva, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; Ian Taylor, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; Steve Benford, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; Mike Fraser, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; Chris Greenhalgh, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; Holger Schn&#228;delbach, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; Dirk vom Lehn, The Management Centre, Kings College London, Franklin-Wilkins Building, London SE1 8WA, UK"
"CHI","01","http://dx.doi.org/10.1145/365024.365034","Cookies and Web browser design: toward realizing informed consent online","24 ","20","175","1,832","computer ethics; design; e-commerce; human factors; human-computer interaction; interaction styles; internet; locus of control; measurement; online interactions; personalization; privacy; social computing; theory; value-sensitive design; world wide web","7","Lynette I. Millett, Department of Computer Science, Cornell University, Ithaca, NY; Batya Friedman, The Information School, University of Washington, Seattle, WA"
"CHI","01","http://dx.doi.org/10.1145/365024.365035","Empirically validated web page design metrics","45 ","21","149","4,079","automated usability evaluation; empirical studies; human factors; measurement; screen design; web site design; web-based services","8","Melody Y. Ivory, EECS Department, UC Berkeley, Berkeley, CA; Rashmi R. Sinha, SIMS/Psychology Department, UC Berkeley, Berkeley, CA"
"CHI","01","http://dx.doi.org/10.1145/365024.365037","What makes Web sites credible?: a report on a large quantitative study","108 ","58","424","5,430","captology; design; expertise; management; online research; reliability; trustworthiness; web design; web-based services","8","B. J. Fogg, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; Jonathan Marshall, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; Othman Laraki, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; Alex Osipovich, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; Chris Varma, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; Nicholas Fang, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; Jyoti Paul, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; Akshay Rangnekar, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; John Shon, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; Preeti Swani, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA"
"CHI","01","http://dx.doi.org/10.1145/365024.365038","Improving the performance of the cyberlink mental interface with &ldquo;yes / no program&rdquo;","6 ","9","43","700","assistive technologies for persons with disabilities; cyberlink; human factors; interaction techniques; mental interface; performance; user/machine systems","8","Eamon Doherty, School of Computing, Engineering and Technology, University of Sunderland, P.O. Box 299, Sunderland, SR6 OYN, UK; Gilbert Cockton, School of Computing, Engineering and Technology, University of Sunderland, P.O. Box 299, Sunderland, SR6 OYN, UK"
