"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","91","http://dx.doi.org/10.1145/108844.108845","Bringing icons to life","34 ","16","67","1,059","design; hypercard","6","Ronald Baecker, Dynamic Graphics Project, Computer Systems Research Institute and Department of Computer Science, University of Toronto; Ian Small, Dynamic Graphics Project, Computer Systems Research Institute and Department of Computer Science, University of Toronto and Human Interface Group, Apple Computer, Inc."
"CHI","91","http://dx.doi.org/10.1145/108844.108846","Usability testing of a graphical programming system: things we missed in a programming walkthrough","9 ","5","27","473","design; languages","6","Brigham Bell, Institute of Cognitive Science and Department of Computer Science, University of Colorado, Boulder, Colorado; John Rieman, Institute of Cognitive Science and Department of Computer Science, University of Colorado, Boulder, Colorado"
"CHI","91","http://dx.doi.org/10.1145/108844.108847","Two approaches to casual interaction over computer and video networks","35 ","4","43","459","computer conferencing, teleconferencing, and videoconferencing; privacy; video","7",""
"CHI","91","http://dx.doi.org/10.1145/108844.108848","Expressive richness: a comparison of speech and text as media for revision","38 ","8","60","744","audio input/output; documentation; human factors; theory","6","Barbara L. Chalfonte, Bellcore, Morristown, NJ; Robert S. Fish, Bellcore, Morristown, NJ"
"CHI","91","http://dx.doi.org/10.1145/108844.108849","Applications: a dimension space for user interface management systems","4 ","5","22","186","design; human factors; user interface management systems","6","Jo&#235;lle Coutaz, Laboratoire de G&#233;nie Informatique (IMAG), BP 53 X, 38041 Grenoble Cedex, France"
"CHI","91","http://dx.doi.org/10.1145/108844.108850","EAGER: programming repetitive tasks by example","79 ","7","53","563","design; hypercard; user interfaces","7",""
"CHI","91","http://dx.doi.org/10.1145/108844.108851","Flexible user interface coupling in a collaborative system","49 ","8","43","621","design; organizational design; theory and models","8","Prasun Dewan, Department of Computer Sciences, Purdue University, W. Lafayette, IN"
"CHI","91","http://dx.doi.org/10.1145/108844.108852","Designing a desktop information system: observations and issues","7 ","3","25","364","design; theory and methods","6","Thomas Erickson, Human Interface, Advanced Technology Group, Apple Computer, Inc., 20525 Mariani Ave., MS 76-3H, Cupertino, California"
"CHI","91","http://dx.doi.org/10.1145/108844.108853","Intertwining query construction and relevance evaluation","6 ","3","20","210","design; retrieval models; user interfaces","8","Gerhard Fischer, Department of Computer Science and Institute of Cognitive Science, University of Colorado, Boulder, Colorado; Scott Henninger, Department of Computer Science and Institute of Cognitive Science, University of Colorado, Boulder, Colorado"
"CHI","91","http://dx.doi.org/10.1145/108844.108854","Information access in complex, poorly structured information spaces","23 ","6","27","375","bulletin boards; human factors; interaction styles","8","Gerhard Fischer, Department of Computer Science and Institute of Cognitive Science, University of Colorado, Boulder"
"CHI","91","http://dx.doi.org/10.1145/108844.108855","New graphical reasoning models for understanding graphical interfaces","10 ","5","25","385","deduction; interaction styles; representations","8",""
"CHI","91","http://dx.doi.org/10.1145/108844.108856","Technology affordances","84 ","88","559","4,209","design; knowledge representation formalisms and methods","6",""
"CHI","91","http://dx.doi.org/10.1145/108844.108857","Effective sounds in complex systems: the ARKOLA simulation","79 ","9","54","795","audio input/output; human factors; theory","6","William W. Gaver, Xerox Palo Alto Research Center, 3333 Coyote Hill Road, Palo Alto, CA"
"CHI","91","http://dx.doi.org/10.1145/108844.108858","CSCW: the convergence of two development contexts","13 ","5","47","802","computer conferencing, teleconferencing, and videoconferencing; human factors; theory and models","7",""
"CHI","91","http://dx.doi.org/10.1145/108844.108859","Disembodied conduct: communication through video in a multi-media office environment","90 ","17","76","1,229","design; human factors; synchronous interaction","5","Christian Heath, Department of Sociology, University of Surrey, Guildford GU2 5XH, United Kingdom and Cambridge EuroPARC, 61, Regent Street, Cambridge CB2 1AB, United Kingdom"
"CHI","91","http://dx.doi.org/10.1145/108844.108860","Building visual language parsers","27 ","4","39","507","algorithms; input devices and strategies; language parsing and understanding; parsing","8","Richard Helm, I.B.M. Thomas J. Watson Research Center, P.O. Box 704, Yorktown Heights, NY; Kim Marruitt, I.B.M. Thomas J. Watson Research Center, P.O. Box 704, Yorktown Heights, NY"
"CHI","91","http://dx.doi.org/10.1145/108844.108861","Predicting the learnability of task-action mappings","11 ","4","28","521","design; interaction styles","6","Andrew Howes, MRC Applied Psychology Unit, 15 Chaucer Road, Cambridge CB2 2EF, UK"
"CHI","91","http://dx.doi.org/10.1145/108844.108862","User interface evaluation in the real world: a comparison of four techniques","115 ","141","609","6,814","experimentation; interaction styles","6","Robin Jeffries, Hewlett-Packard Laboratories, 1501 Page Mill Road, Palo Alto, California; James R. Miller, Hewlett-Packard Laboratories, 1501 Page Mill Road, Palo Alto, California; Cathleen Wharton, Dept. of Computer Science and Institute of Cognitive Science, University of Colorado, Boulder, Colorado and Hewlett-Packard Laboratories"
"CHI","91","http://dx.doi.org/10.1145/108844.108863","Expert problem solving strategies for program comprehension","28 ","6","41","977","computer-aided software engineering; experimentation; languages; software maintenance","6","J&#252;rgen Koenemann, Department of Psychology, Rutgers - The State University of New Jersey, New Brunswick, NJ"
