Year ,Submitted ,Accepted ,Rate,citation count,citation per paper,acm link,hyperlink,,,,,,,,,,,,,,,,,
CHI'82 ,165,75,45%,389,5.19,citation.cfm?id=800049,CHI'82:Proceedings of the 1982 conference on Human factors in computing systems,,,,,,,,,,,,,,,,,31
CHI'83 ,176,59,34%,471,7.98,citation.cfm?id=800045,CHI'83:Proceedings of the SIGCHI conference on Human Factors in Computing Systems,,,,,,,,,,,,,,,,,30
CHI'85 ,170,31,18%,495,15.97,citation.cfm?id=317456,CHI'85:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,29
CHI'86 ,122,47,39%,"1,212",25.79,citation.cfm?id=22627,CHI'86:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,28
CHI'87 ,166,46,28%,609,13.24,citation.cfm?id=29933,CHI'87:Proceedings of the SIGCHI/GI conference on Human factors in computing systems and graphics interface,,,,,,,,,,,,,,,,,27
CHI'88 ,187,39,21%,722,18.51,citation.cfm?id=57167,CHI'88:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,26
CHI'89 ,199,54,27%,736,13.63,citation.cfm?id=67449,CHI'89:Proceedings of the SIGCHI conference on Human factors in computing systems: Wings for the mind,,,,,,,,,,,,,,,,,25
CHI'90 ,260,47,18%,1327,28.23,citation.cfm?id=97243,CHI'90:Proceedings of the SIGCHI conference on Human factors in computing systems: Empowering people,,,,,,,,,,,,,,,,,24
CHI'91 ,240,56,23%,2151,38.41,citation.cfm?id=108844,CHI'91:Proceedings of the SIGCHI conference on Human factors in computing systems: Reaching through technology,,,,,,,,,,,,,,,,,23
CHI'92 ,216,67,31%,2671,39.87,citation.cfm?id=142750,CHI'92:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,22
CHI'93 ,330,62,19%,1270,20.48,citation.cfm?id=169059,CHI'93:Proceedings of the INTERACT'93 and CHI'93 conference on Human factors in computing systems,,,,,,,,,,,,,,,,,21
CHI'94 ,263,70,27%,2021,28.87,citation.cfm?id=191666,CHI'94:Proceedings of the SIGCHI conference on Human factors in computing systems: celebrating interdependence,,,,,,,,,,,,,,,,,20
CHI'95 ,228,66,29%,,,citation.cfm?id=223904,CHI'95:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,19
CHI'96 ,256,55,21%,,,citation.cfm?id=238386,CHI'96:Proceedings of the SIGCHI conference on Human factors in computing systems: common ground,,,,,,,,,,,,,,,,,18
CHI'97 ,234,55,24%,,,citation.cfm?id=258549,CHI'97:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,17
CHI'98 ,351,81,23%,,,citation.cfm?id=274644,CHI'98:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,16
CHI'99 ,312,78,25%,3406,43.67,citation.cfm?id=302979,CHI'99:Proceedings of the SIGCHI conference on Human factors in computing systems: the CHI is the limit,,,,,,,,,,,,,,,,,15
CHI'00 ,336,72,21%,2545,35.35,citation.cfm?id=332040,CHI'00:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,14
CHI'01 ,352,69,20%,2353,34.10,citation.cfm?id=365024,CHI'01:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,13
CHI'02 ,414,61,15%,1993,32.67,citation.cfm?id=503376,"CHI'02:Proceedings of the SIGCHI conference on Human factors in computing systems: Changing our world, changing ourselves",,,,,,,,,,,,,,,,,12
CHI'03 ,468,75,16%,2972,39.63,citation.cfm?id=642611,CHI'03:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,11
CHI'04 ,578,93,16%,2688,28.90,citation.cfm?id=985692,CHI'04:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,10
CHI'05 ,372,93,25%,2238,24.06,citation.cfm?id=1054972,CHI'05:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,9
CHI'06 ,626,151,24%,3046,20.17,citation.cfm?id=1124772,CHI'06:Proceedings of the SIGCHI conference on Human Factors in computing systems,,,,,,,,,,,,,,,,,8
CHI'07 ,840,182,22%,2923,16.06,citation.cfm?id=1240624,CHI'07:Proceedings of the SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,7
CHI'08 ,714,157,22%,2426,15.45,citation.cfm?id=1357054,CHI'08:Proceedings of the twenty-sixth annual SIGCHI conference on Human factors in computing systems,,,,,,,,,,,,,,,,,6
CHI'09 ,1130,277,25%,1658,5.99,citation.cfm?id=1518701,CHI'09:Proceedings of the 27th international conference on Human factors in computing systems,,,,,,,,,,,,,,,,,5
CHI'10 ,1346,302,22%,832,2.75,citation.cfm?id=1753326,CHI'10:Proceedings of the 28th international conference on Human factors in computing systems,,,,,,,,,,,,,,,,,4
CHI'11 ,1532,410,27%,111,0.27,citation.cfm?id=1978942,CHI'11:Proceedings of the 2011 annual conference on Human factors in computing systems,,,,,,,,,,,,,,,,,3
CHI'12,,,,,,citation.cfm?id=2207676,CHI'12:Proceedings of the 2012 ACM annual conference on Human Factors in Computing Systems,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,1
