conference,Submitted ,Accepted ,Rate,citation count,citation per paper,acm link,hyperlink,,,,,,,Year,,,
IUI'93 ,,,,,,citation.cfm?id=169891,IUI'93:Proceedings of the 1st international conference on Intelligent user interfaces,,,,,,,1993,,,
IUI'97 ,,,,,,citation.cfm?id=238218,IUI'97:Proceedings of the 2nd international conference on Intelligent user interfaces,,,,,,,1997,,,
IUI'98 ,57,20,35%,,,citation.cfm?id=268389,IUI'98:Proceedings of the 3rd international conference on Intelligent user interfaces,,,,,,,1998,,,
IUI'99 ,70,21,30%,,,citation.cfm?id=291080,IUI'99:Proceedings of the 4th international conference on Intelligent user interfaces,,,,,,,1999,,,
IUI'00,,,,,,citation.cfm?id=325737,IUI'00:Proceedings of the 5th international conference on Intelligent user interfaces,,,,,,,2000,,,
IUI'01,,,,,,citation.cfm?id=359784,IUI'01:Proceedings of the 6th international conference on Intelligent user interfaces,,,,,,,2001,,,
IUI'02 ,111,49,44%,,,citation.cfm?id=502716,IUI'02:Proceedings of the 7th international conference on Intelligent user interfaces,,,,,,,2002,,,
IUI'03 ,134,28,21%,,,citation.cfm?id=604045,IUI'03:Proceedings of the 8th international conference on Intelligent user interfaces,,,,,,,2003,,,
IUI'04 ,140,72,51%,,,citation.cfm?id=964442,IUI'04:Proceedings of the 9th international conference on Intelligent user interfaces,,,,,,,2004,,,
IUI'05 ,135,30,22%,,,citation.cfm?id=1040830,IUI'05:Proceedings of the 10th international conference on Intelligent user interfaces,,,,,,,2005,,,
IUI'06 ,127,30,24%,,,citation.cfm?id=1111449,IUI'06:Proceedings of the 11th international conference on Intelligent user interfaces,,,,,,,2006,,,
IUI'07 ,118,26,22%,,,citation.cfm?id=1216295,IUI'07:Proceedings of the 12th international conference on Intelligent user interfaces,,,,,,,2007,,,
IUI'08 ,205,30,15%,,,citation.cfm?id=1378773,IUI'08:Proceedings of the 13th international conference on Intelligent user interfaces,,,,,,,2008,,,
IUI'09 ,193,56,29%,,,citation.cfm?id=1502650,IUI'09:Proceedings of the 14th international conference on Intelligent user interfaces,,,,,,,2009,,,
IUI'10 ,206,62,30%,,,citation.cfm?id=1719970,IUI'10:Proceedings of the 15th international conference on Intelligent user interfaces,,,,,,,2010,,,
IUI'11 ,180,79,44%,,,citation.cfm?id=1943403,IUI'11:Proceedings of the 16th international conference on Intelligent user interfaces,,,,,,,2011,,,
IUI'12 ,212,49,23%,,,citation.cfm?id=2166966,IUI'12:Proceedings of the 2012 ACM international conference on Intelligent User Interfaces,,,,,,,2012,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
